,Actual_price_(encoded),predicted_price
89,91,93.0012193929091
176,25,22.2744411226112
37,111,124.43476968941
557,25,30.421894388096
172,82,104.124841655256
128,62,71.3038216925361
108,52,62.6034418066347
209,103,106.781487882354
22,61,65.5298826603377
143,61,65.2122324158189
431,62,64.723782236618
397,140,132.242887651379
625,110,97.686450744717
388,103,106.781487882354
371,125,115.554342984002
481,62,64.723782236618
198,37,46.731894867854
30,86,97.7592067913077
558,56,64.4084182544933
1,40,51.1567694871273
465,57,62.9458286214238
300,82,104.124841655256
68,103,106.781487882354
15,100,102.069294602872
334,86,102.842303469472
554,33,29.8132091472257
183,29,34.2745272206605
451,139,138.2323053181
344,108,103.657710435391
417,148,114.708252810595
304,85,87.240731491322
158,31,48.7414446283422
281,72,94.3485617753588
80,62,82.2838402827217
67,85,93.0012193929091
473,56,60.3505342941814
317,86,81.1585482248489
453,119,80.2700656086754
141,61,47.9147253727816
205,99,97.7783389562942
197,4,2.99015743874056
568,92,96.7716663018294
516,86,97.7592067913077
599,12,15.945450609412
633,111,69.1678310988626
523,107,101.588945655519
413,137,144.818205210695
18,86,97.7592067913077
297,86,81.1585482248489
107,47,45.6159584184077
426,95,87.3895653263969
246,6,30.0660196151979
439,150,100.84814967297
226,62,73.3956361860185
314,86,97.7592067913077
213,26,39.0226676156184
109,56,60.3505342941814
544,66,76.8061939726522
654,61,52.5807373302878
452,121,107.862278570742
84,61,47.9147253727816
383,125,115.554342984002
273,72,95.7017095558124
275,68,76.2014607474391
265,71,78.5400250975874
244,61,65.2122324158189
479,98,35.9532557149047
612,6,30.0660196151979
411,121,108.430794449858
604,108,103.657710435391
77,62,82.2838402827217
535,105,96.5419893875442
352,116,121.969596951615
55,7,16.5960747543067
462,123,109.615525358789
345,124,117.923915801855
660,36,30.184751143505
235,133,94.7313319053103
330,66,76.8061939726522
363,66,76.8061939726522
267,72,82.0772008433172
635,75,85.6767078259582
225,56,66.3988262785455
623,72,94.3485617753588
389,108,103.657710435391
182,37,37.468505152923
659,77,83.2140952772327
416,150,98.0748100519504
250,18,19.1874947237577
311,85,93.0012193929091
620,70,67.3803316629512
683,150,98.0748100519504
365,114,112.010041615027
387,103,106.781487882354
129,76,95.2900678386278
239,108,91.8605761163152
249,9,22.1137920709331
369,72,95.7017095558124
142,80,97.9658462307122
284,72,79.9797745533601
507,18,19.1874947237577
499,91,97.40701349663
471,76,95.2900678386278
171,82,104.124841655256
521,76,95.2900678386278
593,71,78.5400250975874
475,80,73.3709711209626
32,62,75.3325171292313
400,147,141.647929300927
449,146,140.796966532856
327,82,104.124841655256
530,85,85.6767078259582
658,77,83.2140952772327
630,94,77.0030077892694
532,92,46.9860712532319
294,86,81.1585482248489
16,111,120.36567076588
236,102,97.40701349663
116,56,38.3968876221882
617,66,58.1728019970167
581,109,106.574300770723
10,85,93.0012193929091
161,31,38.9388101594486
3,81,42.2666152073126
343,108,103.657710435391
62,71,64.9022087610085
500,76,95.2900678386278
672,147,141.647929300927
13,71,78.5400250975874
373,103,106.781487882354
40,153,149.455363476251
340,111,124.43476968941
65,61,47.9147253727816
72,80,90.5709425374306
251,18,31.849670740386
489,30,38.272328885698
113,55,46.46195179105
322,86,81.1585482248489
459,134,119.825882967469
227,61,59.9565897245632
